Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,x,y
QRVO,Qorvo,Information Technology,42.67,,3282.31,0.01,40.09,33.3,88.35,5.85,0.7211900000000001,2.19,1.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO,-0.13810290565759412,3.6898707930164414
QCOM,QUALCOMM Inc.,Information Technology,51.64,3.74,17.16,3.01,20.23,42.24,74.09,77.2,8.03,3.21,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM,-14.886360530967949,-2.963307723124997
PWR,Quanta Services Inc.,Industrials,19.92,,10.97,1.82,19.53,16.77,30.61,3.18,0.60592,0.38,0.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR,0.7615569850735027,-17.882334356579737
DGX,Quest Diagnostics,Health Care,66.72,2.4,13.7,4.87,32.76,59.66,89.0,9.54,1.46,1.26,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX,2.0228460759343694,14.954104554835258
RRC,Range Resources Corp.,Energy,23.35,0.64,,-0.68,18.57,19.21,65.53,3.88,1.23,2.87,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC,-1.2861071244214384,-30.192073885141102
RTN,Raytheon Co.,Industrials,125.02,2.15,18.4,6.79,33.87,95.32,129.99,37.38,3.28,1.59,3.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN,-24.57874517368582,-5.373348950539204
O,Realty Income Corporation,Financials,60.12,3.99,55.21,1.09,24.5,43.15,61.34,15.06,0.92653,14.58,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O,-30.36625803788343,-10.111695268130394
RHT,Red Hat Inc.,Information Technology,67.68,,65.71,1.03,7.36,59.59,84.44,12.36,0.36778,6.05,8.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT,-7.0830722918786995,7.945207883034586
REGN,Regeneron,Health Care,393.99,,71.38,5.52,35.11,350.26,605.93,41.02,1.33,9.99,11.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN,-10.969135433387454,2.0571763051717715
RF,Regions Financial Corp.,Financials,7.51,3.04,10.01,0.75,12.35,7.0,10.87,9.67,0.0,1.89,0.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF,32.6889962696048,11.481391261024573
RSG,Republic Services Inc,Industrials,46.23,2.61,21.7,2.13,22.5,38.99,46.31,15.94,2.56,1.74,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG,3.794086836054756,26.026048501648628
RAI,Reynolds American Inc.,Consumer Staples,50.94,3.37,19.82,2.57,12.79,33.71,51.22,72.71,4.23,6.81,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI,-30.397010967554397,-8.870686137890225
RHI,Robert Half International,Industrials,39.39,2.25,14.64,2.69,7.77,36.17,63.27,5.09,0.63395,1.0,5.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI,-1.7773031489264683,25.736127755260753
ROK,Rockwell Automation Inc.,Industrials,104.04,2.76,17.54,5.93,17.02,87.53,127.05,13.67,1.27,2.18,6.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK,21.737146157786857,-4.245442519430549
COL,Rockwell Collins,Industrials,88.64,1.5,18.09,4.9,14.47,76.03,99.37,11.62,1.18,2.23,6.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL,9.72729748673502,-1.2706065475455042
ROP,Roper Industries,Industrials,171.0,0.69,24.96,6.85,52.55,150.91,195.93,17.24,1.23,4.79,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP,19.756458772005193,-4.3549162407191115
ROST,Ross Stores,Consumer Discretionary,56.54,0.85,23.08,2.45,5.91,43.47,57.19,22.9,1.87,1.94,9.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST,-18.1882272131491,10.679061237213368
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,74.47,2.03,24.66,3.02,36.99,64.21,103.4,16.23,2.11,1.91,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RCL,-3.613093367640964,6.905314838821743
R,Ryder System,Industrials,56.23,2.8,9.85,5.71,37.15,45.12,100.64,3.01,1.76,0.46,1.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R,18.86119443144491,-10.501352204674165
CRM,Salesforce.com,Information Technology,69.42,,,-0.13,7.15,52.6,82.9,46.09,0.39981,6.59,8.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM,-6.56362965836851,8.005699638230071
SNDK,SanDisk Corporation,Information Technology,71.48,1.77,39.27,1.82,28.56,44.28,87.43,14.37,1.38,2.52,2.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNDK,-9.738042471279165,-7.2991963143320655
SCG,SCANA Corp,Utilities,66.78,3.5,12.79,5.22,37.92,49.89,66.9,9.54,1.5,2.17,1.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG,-37.40464519059671,-13.469371025296292
SLB,Schlumberger Ltd.,Energy,72.35,2.69,44.39,1.63,28.36,59.6,95.13,90.9,9.64,2.56,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB,17.023027573718966,-20.495103037734424
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,57.8,1.79,13.34,4.33,11.51,47.62,74.8,7.43,1.28,2.62,5.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI,-6.120384036715042,-17.03918112133923
STX,Seagate Technology,Information Technology,30.92,7.82,15.58,1.98,6.15,26.25,63.39,9.17,1.79,0.76,5.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX,7.30413797477054,-11.405063384879274
SEE,Sealed Air Corp.(New),Materials,46.36,1.16,28.62,1.62,2.7,38.02,55.84,9.06,1.1,1.27,16.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE,0.7939362367742359,18.29442901056998
SRE,Sempra Energy,Utilities,98.91,3.06,19.44,5.09,46.79,86.72,112.9,24.57,3.03,2.39,2.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE,-37.29601354076173,-8.396179945623565
SHW,Sherwin-Williams,Materials,265.46,1.3,23.79,11.16,10.59,218.27,294.35,24.31,1.81,2.09,24.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW,5.713516494597402,6.200221668086673
SIG,Signet Jewelers,Consumer Discretionary,97.17,0.85,18.35,5.3,35.79,93.45,152.27,7.73,0.8872000000000001,1.17,2.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIG,-16.088522584253123,-16.26932672742085
SPG,Simon Property Group Inc,Financials,191.94,3.38,32.64,5.88,14.31,170.99,208.14,59.39,3.9,11.22,13.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG,4.172510612250089,31.428470026928114
SWKS,Skyworks Solutions,Information Technology,64.55,1.62,13.15,4.91,18.18,54.5,112.88,12.37,1.32,3.61,3.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS,11.986109984735933,12.257199957279642
SLG,SL Green Realty,Financials,90.04,3.2,33.35,2.7,70.67,80.12,135.81,9.0,0.82785,5.28,1.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG,-1.341170182205773,30.13933724899059
SJM,Smucker (J.M.),Consumer Staples,129.57,2.11,38.08,3.4,60.44,104.3,130.0,15.51,1.42,2.21,2.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM,-27.306793792430334,-4.937951964726623
SNA,Snap-On Inc.,Consumer Discretionary,144.54,1.66,17.84,8.1,41.54,133.09,174.52,8.4,0.8328,2.36,3.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA,-0.7057843706296457,22.513346110112966
SO,Southern Co.,Utilities,49.36,4.42,18.98,2.6,22.73,41.4,50.24,45.02,6.66,2.55,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO,-35.12693390189232,-17.216124127898727
LUV,Southwest Airlines,Industrials,42.59,0.73,13.04,3.27,11.36,31.36,51.34,27.18,5.19,1.34,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV,-1.9961404699772316,9.990870478888887
SWN,Southwestern Energy,Energy,6.77,0.0,,-5.94,11.61,5.0,29.61,2.59,1.75,0.77,0.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN,-2.409219653265207,-30.122335088856172
SE,Spectra Energy Corp.,Energy,28.77,5.58,99.21,0.29,14.21,21.43,38.47,19.3,2.21,3.68,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SE,5.911071177185433,-28.88168893342711
STJ,St Jude Medical,Health Care,54.3,2.3,17.69,3.07,14.11,48.83,80.84,15.56,1.62,2.8,3.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ,-2.195723237563455,13.389485628336791
SWK,Stanley Black & Decker,Consumer Discretionary,95.07,2.34,16.43,5.79,37.75,88.72,111.18,14.48,1.79,1.28,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK,7.7691774350243685,16.707014006266242
SPLS,Staples Inc.,Consumer Discretionary,9.41,5.06,192.04,0.05,8.3,8.04,17.05,6.06,1.39,0.28,1.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS,-16.524581114766345,-17.914076109666127
SBUX,Starbucks Corp.,Consumer Discretionary,58.75,1.36,36.07,1.63,4.03,42.05,64.0,86.84,4.46,4.35,14.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX,-6.141717032586037,25.10481939012263
HOT,Starwood Hotels & Resorts,Consumer Discretionary,68.96,2.23,23.94,2.88,7.68,56.87,87.99,11.64,1.12,3.76,8.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT,3.1601872831837423,5.838423738491904
STT,State Street Corp.,Financials,54.74,2.39,12.25,4.47,46.04,50.73,81.26,21.9,0.0,2.09,1.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT,24.15617260860581,14.94059464415804
SRCL,Stericycle Inc,Industrials,114.52,,38.69,2.96,31.74,104.91,151.57,9.84,0.7893899999999999,3.26,3.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCL,-2.1706228141816544,22.067129344032644
SYK,Stryker Corp.,Health Care,101.8,1.53,26.93,3.78,22.82,86.68,105.34,37.97,2.67,3.73,4.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK,-10.628416191039207,17.219063516160947
STI,SunTrust Banks,Financials,33.8,2.75,9.44,3.58,43.68,31.07,45.84,17.19,0.0,2.16,0.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI,32.69178391638559,12.898758717178856
SYMC,Symantec Corp.,Information Technology,19.67,2.98,21.9,0.9,8.21,18.31,26.16,12.83,1.95,2.04,2.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYMC,-20.652493650003915,-17.94093434624989
SYF,Synchrony Financial,Financials,27.78,,10.48,2.65,15.12,23.74,36.4,23.16,0.0,3.4,1.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF,18.81055528020664,17.981714428333493
SYY,Sysco Corp.,Consumer Staples,43.56,2.9,33.61,1.3,6.96,35.45,45.11,24.59,2.39,0.5,6.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY,-25.080535726499285,-15.057219924810855
TROW,T. Rowe Price Group,Financials,69.64,3.09,15.04,4.63,19.01,63.57,84.38,17.28,2.03,4.07,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW,28.827848487870842,19.81544944860416
TGT,Target Corp.,Consumer Discretionary,78.67,3.09,,-1.11,21.43,66.46,85.81,48.46,7.41,0.64,3.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT,-24.59202294653752,-12.13078753480009
TEL,TE Connectivity Ltd.,Information Technology,57.41,2.27,10.11,5.68,22.83,51.7,73.73,21.22,2.53,1.75,2.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL,17.2956627900648,11.805077479987276
TE,TECO Energy,Utilities,27.48,3.34,37.09,0.74,10.96,17.6,27.54,6.41,0.9123,2.34,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TE,-29.60800402495422,-14.363849426949301
TGNA,Tegna,Consumer Discretionary,24.13,2.27,15.47,1.56,9.62,21.11,38.48,5.35,1.08,1.75,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA,14.900084732724734,14.913717962185965
THC,Tenet Healthcare Corp.,Health Care,24.81,0.0,140.97,0.18,8.05,21.39,60.93,2.47,2.27,0.14,3.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=THC,-0.07992288718720289,-13.79049367138892
TDC,Teradata Corp.,Information Technology,25.13,,,-0.89,7.11,21.98,46.0,3.32,0.459,1.29,3.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC,9.322447997307496,-9.552778020035095
TSO,Tesoro Petroleum Co.,Energy,77.75,2.62,6.29,12.36,64.5,67.8,119.67,9.33,3.94,0.33,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSO,-11.581449872501011,11.832362637403493
TXN,Texas Instruments,Information Technology,53.11,2.85,18.81,2.82,9.84,43.49,59.99,53.71,5.29,4.08,5.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN,13.223300577027965,8.858017943574541
TXT,Textron Inc.,Industrials,34.51,0.23,13.83,2.5,17.94,30.69,46.93,9.55,1.57,0.7,1.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT,8.514584653711065,-2.2433645226725343
BK,The Bank of New York Mellon Corp.,Financials,35.33,1.92,13.04,2.71,32.69,32.2,45.45,38.35,0.0,2.51,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK,27.554406587960248,15.488912873777892
CLX,The Clorox Company,Consumer Staples,131.45,2.4,25.39,5.18,1.53,103.77,132.19,17.02,1.22,2.96,85.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX,-31.12189317784703,-6.848004232182169
KO,The Coca Cola Company,Consumer Staples,44.16,3.19,26.44,1.67,5.91,36.56,44.18,190.95,12.1,4.29,7.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO,-5.524392721330786,-4.4840371884175285
HSY,The Hershey Company,Consumer Staples,91.94,2.58,39.63,2.32,4.82,82.41,104.32,19.97,1.7,2.67,18.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY,-26.548386597768264,-6.221932976817078
MOS,The Mosaic Company,Materials,25.42,2.9,9.14,2.78,27.04,22.02,53.55,8.96,2.05,0.99,0.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS,0.09574470909473998,-26.231335599419044
TRV,The Travelers Companies Inc.,Financials,109.27,2.23,10.04,10.88,79.75,95.21,116.48,32.23,5.93,1.19,1.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV,19.837310615565254,23.801577462539647
DIS,The Walt Disney Company,Consumer Discretionary,95.65,1.47,17.88,5.35,25.86,86.25,122.08,156.06,16.44,2.87,3.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS,10.40108293643344,9.1568483948301
TMO,Thermo Fisher Scientific,Health Care,130.57,0.46,26.55,4.92,53.55,117.1,143.65,52.16,4.18,3.06,2.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO,3.9439824954521656,16.6722250354679
TIF,Tiffany & Co.,Consumer Discretionary,65.12,2.45,16.99,3.83,22.25,59.73,96.43,8.35,1.01,1.99,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TIF,11.075064306824867,-5.6655531971242725
TWC,Time Warner Cable Inc.,Consumer Discretionary,193.47,1.57,30.04,6.44,31.75,145.44,194.22,54.8,7.78,2.27,5.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWC,5.410920624521842,23.638758810986882
TWX,Time Warner Inc.,Consumer Discretionary,66.66,2.45,14.41,4.62,29.71,55.53,91.34,52.99,7.64,1.9,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX,-10.681224813664418,-18.24160605789384
TJX,TJX Companies Inc.,Consumer Discretionary,75.08,1.15,22.86,3.28,6.5,63.53,76.93,50.27,4.27,1.64,11.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX,-17.919584861410677,11.285287580495636
TMK,Torchmark Corp.,Financials,51.41,1.03,12.36,4.16,34.62,48.47,63.26,6.34,0.8502299999999999,1.66,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK,28.479318579399372,13.236481522315536
TSS,Total System Services,Information Technology,44.47,0.93,22.6,1.97,10.05,37.14,56.69,8.15,0.79237,2.88,4.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS,-4.719340440960756,9.921516381782668
TSCO,Tractor Supply Company,Consumer Discretionary,85.5,0.93,28.5,3.0,10.37,75.0,96.28,11.49,0.77408,1.85,8.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO,-5.971289668264848,24.27871003031607
RIG,Transocean,Energy,8.23,0.0,,-1.55,37.72,7.67,21.9,2.99,3.28,0.38,0.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG,3.9670882085804133,-26.020766991885058
TRIP,TripAdvisor,Consumer Discretionary,62.05,,45.62,1.36,9.72,53.48,94.0,9.01,0.28,5.91,6.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP,-23.788934000504106,8.512212542994247
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,27.38,1.1,23.11,1.18,7.51,22.66,35.85,52.51,6.15,1.98,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA,12.425206229556267,26.609411201393428
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,27.38,1.1,23.11,1.18,7.51,22.65,34.81,52.51,6.15,1.98,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX,12.328570837202593,26.41175609199863
TYC,Tyco International,Industrials,34.88,2.4,32.03,1.09,9.45,28.94,44.0,14.81,1.55,1.49,3.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TYC,-18.762360734896493,-17.988527311752797
TSN,Tyson Foods,Consumer Staples,66.49,0.94,19.84,3.35,24.72,37.1,66.67,26.25,3.35,0.65,2.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN,-27.09302681156818,-22.698030179238728
USB,U.S. Bancorp,Financials,39.14,2.54,12.39,3.16,23.28,37.07,46.26,68.3,0.0,3.54,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB,31.29187349085375,16.106550579116494
UA,Under Armour,Consumer Discretionary,83.06,,79.1,1.05,7.72,63.23,105.89,17.94,0.50949,4.48,10.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA,-16.37674047694555,-11.673204601519835
UNP,Union Pacific,Industrials,79.32,2.7,14.45,5.49,24.38,67.06,121.4,67.14,10.06,3.09,3.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP,11.575008136878505,-12.483875778145563
UAL,United Continental Holdings,Industrials,56.86,0.0,2.92,19.47,24.59,42.17,70.31,20.44,7.22,0.53,2.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL,-0.7569280421933424,10.45140075511427
UNH,United Health Group Inc.,Health Care,121.2,1.65,20.17,6.01,35.5,95.0,126.21,115.22,12.28,0.73,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH,-6.470973940405693,14.631203264541332
UPS,United Parcel Service,Industrials,97.72,3.18,18.27,5.35,2.16,87.3,107.32,87.01,9.73,1.48,44.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS,14.141513379634445,2.6557125688200287
URI,"United Rentals, Inc.",Industrials,50.36,,8.3,6.07,16.08,41.9,105.83,4.58,1.8,0.78,3.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI,5.552355672984314,-14.321941053156445
UTX,United Technologies,Industrials,98.07,2.77,11.38,8.62,32.63,83.39,123.5,82.03,10.27,1.4,2.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX,12.205793861568045,-2.2541836341743235
UHS,"Universal Health Services, Inc.",Health Care,111.28,0.36,16.54,6.73,41.97,100.82,148.57,10.96,1.65,1.24,2.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS,0.3658835384193069,13.27312859433836
UNM,Unum Group,Financials,28.33,2.64,8.09,3.5,35.96,23.99,38.15,6.83,1.49,0.62,0.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM,29.171340095617257,11.980168916915865
URBN,Urban Outfitters,Consumer Discretionary,26.5,,14.85,1.78,9.64,19.26,47.25,3.11,0.4959,0.92,2.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URBN,-23.810974350981365,-18.812526927515066
VFC,V.F. Corp.,Consumer Discretionary,64.68,2.41,22.69,2.85,12.65,52.21,77.43,27.54,2.08,2.18,5.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VFC,2.1733245651084365,2.0378121729069494
VLO,Valero Energy,Energy,60.69,4.09,7.6,7.99,44.14,51.68,73.88,29.22,8.13,0.33,1.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO,-12.045265834621329,12.180299381853326
VAR,Varian Medical Systems,Health Care,79.05,0.0,19.36,4.08,16.96,71.07,96.67,7.55,0.6169899999999999,2.38,4.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR,-0.06437343115695131,16.3866326262354
VTR,Ventas Inc,Financials,55.08,5.51,43.96,1.25,28.61,46.87,77.36,18.51,1.68,5.51,1.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR,-10.152149154416767,-13.799079263965845
VRSN,Verisign Inc.,Information Technology,84.33,0.0,29.9,2.82,-9.73,61.31,93.94,9.23,0.6674399999999999,8.6,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN,-2.044596370104355,2.3688090667966204
VRSK,Verisk Analytics,Industrials,73.9,,25.06,2.95,7.77,64.79,82.0,12.52,0.92208,6.15,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSK,-2.9630008711681795,24.98834334823697
VZ,Verizon Communications,Telecommunications Services,51.11,4.43,11.7,4.37,4.03,38.06,51.3,208.17,49.08,1.57,12.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ,-1.1458616190553588,-6.146719194808977
VRTX,Vertex Pharmaceuticals Inc,Health Care,85.53,,,-2.31,3.82,78.51,143.45,21.07,-0.33143,20.71,22.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRTX,-9.264333711804909,3.0386902607760042
VIAB,Viacom Inc.,Consumer Discretionary,37.11,4.34,7.96,4.66,9.34,30.11,73.52,14.69,4.02,1.13,3.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VIAB,-9.684801840764868,-17.935521072754298
V,Visa Inc.,Information Technology,73.27,0.77,26.37,2.78,12.25,60.0,81.01,175.9,9.48,12.27,5.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V,16.09533666360095,21.35452376732821
VNO,Vornado Realty Trust,Financials,86.41,2.89,24.1,3.59,28.75,78.91,114.02,16.29,1.22,6.54,2.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO,0.9699970081468444,29.81554434734227
VMC,Vulcan Materials,Materials,97.98,0.83,60.0,1.63,33.34,78.83,106.84,13.09,0.8196599999999999,3.8,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VMC,20.50188645808201,12.061978920757252
WMT,Wal-Mart Stores,Consumer Staples,68.04,3.05,14.89,4.57,25.28,56.3,84.16,216.78,33.56,0.44,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT,-26.639540361453747,-14.481248395573713
WBA,Walgreens Boots Alliance,Consumer Staples,79.92,1.83,19.46,4.11,28.29,71.5,97.3,86.21,7.61,0.76,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA,-7.9556008850779865,20.863581944335497
WM,Waste Management Inc.,Industrials,56.17,2.74,34.04,1.65,11.95,45.86,56.8,25.03,3.39,1.93,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WM,3.9152148176334984,25.62006345691453
WAT,Waters Corporation,Health Care,121.81,0.0,21.56,5.65,25.22,112.0,137.39,9.95,0.67189,4.83,4.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT,-6.682874379735924,16.98364421546196
WFC,Wells Fargo,Financials,47.75,3.05,11.51,4.15,33.83,44.5,58.77,243.15,0.0,2.9,1.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC,30.326505480240012,15.061383896348035
HCN,Welltower Inc.,Financials,62.67,5.7,26.78,2.34,38.29,52.8,80.35,22.26,1.9,5.79,1.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCN,-10.224090015609248,-14.0756289478964
WDC,Western Digital,Information Technology,43.99,4.34,9.07,4.85,41.19,38.64,110.0,10.24,2.46,0.76,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC,7.237502647590215,-12.067888447251875
WU,Western Union Co,Information Technology,18.35,3.49,11.33,1.62,2.8,16.02,22.84,9.21,1.39,1.66,6.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WU,22.81025038996395,-0.6864318394626697
WRK,Westrock Co,Materials,32.42,4.64,,-0.36,42.61,29.73,66.4,8.35,2.03,0.66,0.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRK,9.31108436311506,-13.767436538891745
WY,Weyerhaeuser Corp.,Financials,25.36,5.26,28.49,0.89,9.51,22.06,35.6,12.95,1.47,1.81,2.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY,14.470102154197193,-3.781596390509667
WHR,Whirlpool Corp.,Consumer Discretionary,151.87,2.43,15.45,9.83,61.42,123.6,217.0,11.73,2.09,0.56,2.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WHR,7.066816321875645,1.9098681762791887
